company,category,keyword,count
ATOSS,operational,ai-powered,9
ATOSS,strategic,artificial intelligence,8
ATOSS,operational,ai-based,5
ATOSS,operational,our ai,4
ATOSS,operational,ai-driven,4
ATOSS,strategic,ai roadmap,2
ATOSS,strategic,digital transformation,2
ATOSS,strategic,ai-first,2
ATOSS,operational,ai-enabled,2
ATOSS,strategic,ai strategy,1
ATOSS,strategic,pilot phase,1
ATOSS,strategic,ai could,1
ATOSS,operational,through ai,1
ATOSS,operational,ai implementation,1
ATOSS,operational,ai tool,1
ATOSS,operational,automated,1
Bechtle,strategic,artificial intelligence,17
Bechtle,strategic,digital transformation,13
Bechtle,strategic,intend to implement,1
Bechtle,strategic,ai will,1
Bechtle,operational,ai-based,1
Bechtle,operational,chatbot,1
Bechtle,operational,ai-driven,1
Bechtle,operational,ai platform,1
Deutz AG,strategic,artificial intelligence,3
Durr,strategic,artificial intelligence,11
Durr,operational,ai-based,2
Durr,operational,predictive maintenance,2
Durr,strategic,plan to use ai,1
Durr,strategic,pilot phase,1
Durr,operational,using ai,1
Durr,operational,ai application,1
Heidelberg Druckmaschinen,strategic,artificial intelligence,2
Heidelberg Druckmaschinen,operational,ai-based,2
Heidelberg Druckmaschinen,operational,predictive maintenance,2
Heidelberg Druckmaschinen,operational,our ai,1
Heidelberg Druckmaschinen,operational,thanks to ai,1
Heidelberg Druckmaschinen,operational,we use artificial intelligence,1
Heidelberg Druckmaschinen,operational,ai-driven,1
Heidelberg Druckmaschinen,operational,automated,1
Jenoptik,strategic,artificial intelligence,8
Jenoptik,strategic,digital transformation,2
Jenoptik,operational,ai-based,2
Jenoptik,operational,ai-driven,2
Jenoptik,operational,ai solution,1
Jenoptik,operational,automated,1
Krones,strategic,artificial intelligence,9
Krones,operational,predictive maintenance,1
Krones,operational,automated,1
Nemetscheck Group,strategic,artificial intelligence,11
Nemetscheck Group,operational,our ai,5
Nemetscheck Group,strategic,ai strategy,2
Nemetscheck Group,strategic,digital transformation,2
Nemetscheck Group,operational,ai-based,2
Nemetscheck Group,strategic,ai will,1
Nemetscheck Group,strategic,ai-first,1
Nemetscheck Group,operational,ai platform,1
Nemetscheck Group,operational,automated,1
Rational AG,strategic,artificial intelligence,2
STRATEC SE,strategic,artificial intelligence,1
STRATEC SE,operational,ai-driven,1
SUSS Microtec SE,strategic,artificial intelligence,4
SUSS Microtec SE,strategic,digital transformation,1
SUSS Microtec SE,operational,predictive maintenance,1
Secunet,strategic,artificial intelligence,7
Secunet,strategic,digital transformation,4
Secunet,operational,automated,2
Secunet,strategic,ai can,1
Secunet,operational,artificial intelligence to,1
Secunet,operational,predictive maintenance,1
Secunet,operational,ai solution,1
TRUMPF,strategic,artificial intelligence,6
TRUMPF,operational,ai solution,6
TRUMPF,strategic,digital transformation,2
